IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MUKEY,MUSYM,Soil_Depth_cm,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID,index_right
1,1981-03-25 00:00:00,288963.4943,226803.9998,POINT (288963.4943 226803.9998),13.521,1.6638668,1672109.0,UhE,>200,,Buncombe,{CD558049-66E5-4595-BB55-AFCDB6035B63},,1981-03-25,Landslide Hazard Mapping,,58172.0,,Weaverville,,Road embankment,,Debris,,Slide - rotational,,,661.0,14032.0
1,1982-05-25 00:00:00,293471.065200001,216042.260299999,POINT (293471.065200001 216042.260299999),21.59,3.7231333,1671928.0,ArE,76,,Buncombe,{C0F5BE0D-6A77-42A4-969C-74646BC49E8A},,1982-05-25,Landslide Hazard Mapping,,58173.0,,Craggy Pinnacle,,Road cut,Slide - rotational,Debris,Earth,Slide - rotational,,,662.0,15007.0
1,1989-07-22 00:00:00,289777.368199997,230247.398600001,POINT (289777.368199997 230247.398600001),23.754,3.1898334,1672109.0,UhE,>200,,Buncombe,{C7DED0AC-84B4-4BB1-B1CE-829D5992A0C2},,1989-07-22,Landslide Hazard Mapping,,58178.0,,Mars Hill,,Road cut,,Earth,,Slide - translational,,,667.0,14032.0
1,1990-05-22 00:00:00,287403.624899998,223755.447500002,POINT (287403.624899998 223755.447500002),22.443,3.3064668,1672109.0,UhE,>200,,Buncombe,{F5D566F9-1D86-46F5-8B34-5D0E88F70D6E},,1990-05-22,Landslide Hazard Mapping,,58190.0,,Weaverville,,Road cut,Fall,Rock,Debris,Slide,,,677.0,14032.0
1,1990-05-23 00:00:00,295886.432400003,208999.858100001,POINT (295886.432400003 208999.858100001),25.374,3.7131336,1672199.0,Ux,>200,,Buncombe,{8DD9871F-3989-444B-A2C0-09F17D7D900E},,1990-05-23,Landslide Hazard Mapping,,58186.0,,Oteen,,Road cut,,Weathered rock,,Slide,,,676.0,30939.0
1,1990-05-23 00:00:00,303556.827500001,210237.813000001,POINT (303556.827500001 210237.813000001),34.709,4.897633,1672109.0,UhE,>200,,Buncombe,{DD2FBB57-01E4-495F-85BB-01EF06D15603},,1990-05-23,Landslide Hazard Mapping,,58184.0,,Oteen,,Road embankment,,Earth,,Slide - rotational,,,673.0,22908.0
1,1990-05-23 00:00:00,309170.0044,211623.693799999,POINT (309170.0044 211623.693799999),32.418,4.660733,1672109.0,UhE,>200,,Buncombe,{A2FAA910-F4AC-4EFB-8B85-F1FA703FB312},,1990-05-23,Landslide Hazard Mapping,,58183.0,,Black Mountain,,Road cut,,Weathered rock,,Slide - rotational,,,672.0,22908.0
1,1990-05-23 00:00:00,285236.660099998,207087.397999998,POINT (285236.660099998 207087.397999998),40.502,3.6915002,1672109.0,UhE,>200,,Buncombe,{870F1001-23AF-46D0-AF41-771E715F15B6},,1990-05-23,Landslide Hazard Mapping,,58181.0,,Asheville,,Road embankment,,Earth,,Slide,,,670.0,22908.0
1,1990-05-23 00:00:00,286450.089000002,222595.9826,POINT (286450.089000002 222595.9826),24.229,3.3708,1672109.0,UhE,>200,,Buncombe,{11782408-4559-404F-A996-AFC686876FB3},,1990-05-23,Landslide Hazard Mapping,,58179.0,,Weaverville,,Road embankment,,Debris,,Slide,,,668.0,14032.0
1,1990-06-05 00:00:00,313888.132600002,200290.027899999,POINT (313888.132600002 200290.027899999),41.719,3.4093332,1672006.0,EdE,>200,,Buncombe,{CB274BCD-0EF7-49C1-9307-E2E04A1D92BD},,1990-06-05,Landslide Hazard Mapping,,58192.0,,Black Mountain,,Road embankment,Slide - rotational,Debris,Earth,Slide - rotational,,,679.0,35050.0
1,1990-06-05 00:00:00,313235.048199996,200493.546500001,POINT (313235.048199996 200493.546500001),41.719,3.4093332,1672007.0,EdF,>200,,Buncombe,{53F2193A-86AB-425C-8691-9D2CD74BE308},,1990-06-05,Landslide Hazard Mapping,,58191.0,,Black Mountain,,Road embankment,,Earth,,Slide - translational,,,678.0,23625.0
1,1990-06-05 00:00:00,318626.112300001,202637.203299999,POINT (318626.112300001 202637.203299999),36.614,3.4179664,1672006.0,EdE,>200,,Buncombe,{8AE25A50-98BA-41CA-943A-113608FFEBA1},,1990-06-05,Landslide Hazard Mapping,,57942.0,,Moffitt Hill,,Road cut,,Earth,,Slide,,,650.0,29125.0
1,1990-08-30 00:00:00,275079.193000004,225903.812899999,POINT (275079.193000004 225903.812899999),27.244,2.4905665,1671984.0,CkD2,>200,,Buncombe,{A5FB6A55-515C-4B25-A69B-72A25DEC94A6},,1990-08-30,Landslide Hazard Mapping,,58193.0,,Leicester,,Road embankment,,Earth,,Slide - rotational,,,680.0,14228.0
1,1995-10-04 05:00:00,309606.524300002,225251.915600002,POINT (309606.524300002 225251.915600002),15.137,2.4969332,1671975.0,BxF,74,,Buncombe,{A6312A34-7BD9-4531-9B7B-9AAE65925F41},,2004-05-12,Blue Ridge Parkway,,57878.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,1995-10-04 05:00:00,68.0,22423.0
1,2003-04-25 00:00:00,301086.2478,220467.2366,POINT (301086.2478 220467.2366),40.116,4.889633,1672192.0,UkF,69,,Buncombe,{157BF64E-79EE-4F00-B4D1-ED64730F7633},,2003-04-25,Blue Ridge Parkway,,58033.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,17.0,19669.0
1,2003-09-30 00:00:00,296335.122900002,217650.357000001,POINT (296335.122900002 217650.357000001),46.208,4.0689335,1671929.0,ArF,76,,Buncombe,{33E76FB8-D393-4E14-9B20-2603FEA420CD},,2003-09-30,Blue Ridge Parkway,,58897.0,,Craggy Pinnacle,,Road cut,,Debris,,Slide,,,2271.0,11619.0
1,2003-09-30 00:00:00,296165.380099997,217978.2049,POINT (296165.380099997 217978.2049),46.208,4.0689335,1672093.0,TnE,>200,,Buncombe,{405FD521-5FFF-4B92-A995-EF4144A33C99},,2003-09-30,Blue Ridge Parkway,,58898.0,,Craggy Pinnacle,,Road embankment,,Debris,,Slide,,,2272.0,11398.0
1,2003-11-20 00:00:00,304831.121100001,222395.636100002,POINT (304831.121100001 222395.636100002),86.455,5.793433,1672212.0,WrE,>200,,Buncombe,{23E21C27-A88C-4FF3-99B1-BC386FEE46E6},,2003-11-20,Blue Ridge Parkway,,58937.0,,Montreat,,Road cut,,Rock,,Slide - translational,,,2301.0,5583.0
1,2004-01-16 00:00:00,295714.1241,218106.860100001,POINT (295714.1241 218106.860100001),8.144,1.1553333,1672069.0,RkF,0,,Buncombe,{E7C9D5D2-5EBA-4D39-BB83-D75343AAC8C6},,2004-01-16,Blue Ridge Parkway,,58839.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,2282.0,28302.0
1,2004-01-16 00:00:00,294655.5612,217780.137800001,POINT (294655.5612 217780.137800001),7.988,1.1794333,1671929.0,ArF,76,,Buncombe,{2BCB5512-5D8A-4C7B-B904-F4F889CEBEB3},,2004-01-16,Blue Ridge Parkway,,57869.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide,,,59.0,33399.0
1,2004-01-16 00:00:00,295489.840499997,218112.369800001,POINT (295489.840499997 218112.369800001),8.144,1.1553333,1671929.0,ArF,76,,Buncombe,{EA43E720-BA53-4CB4-B4C0-99BCEABC43A0},,2004-01-16,Blue Ridge Parkway,,58840.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,2283.0,29600.0
1,2004-02-04 00:00:00,283597.691299997,199444.660399999,POINT (283597.691299997 199444.660399999),27.816,1.8671,1671928.0,ArE,76,,Buncombe,{1D77DE26-60B4-455B-8FEA-E3841B8D65DD},,2004-02-04,Blue Ridge Parkway,,57870.0,,Skyland,,Road cut,,Rock,,Slide,,,60.0,6221.0
1,2004-02-04 00:00:00,283644.023100004,199929.314100001,POINT (283644.023100004 199929.314100001),27.816,1.8671,1671929.0,ArF,76,,Buncombe,{B9EC3041-DEA3-48A0-AF71-A98E2998E06E},,2004-02-04,Blue Ridge Parkway,,58944.0,,Skyland,,Road cut,,Debris,,Slide - translational,,,2308.0,12675.0
1,2004-02-04 00:00:00,283662.6197,200029.215100002,POINT (283662.6197 200029.215100002),27.816,1.8671,1671929.0,ArF,76,,Buncombe,{419C8400-BB35-42EB-B4B4-5C74A644503D},,2004-02-04,Blue Ridge Parkway,,58943.0,,Skyland,,Road cut,Slide,Rock,Rock,Fall,,,2307.0,12675.0
1,2004-03-25 00:00:00,293388.061099999,212725.229800001,POINT (293388.061099999 212725.229800001),10.937,1.7727666,1671929.0,ArF,76,,Buncombe,{11E0D52F-1915-46A0-BC96-C338291F6E40},,2004-03-25,Blue Ridge Parkway,,58941.0,,Oteen,,Road cut,,Rock,,Fall,,,2305.0,1612.0
1,2004-03-26 00:00:00,293205.315099999,213142.061299998,POINT (293205.315099999 213142.061299998),10.937,1.7727666,1671927.0,AcD,76,,Buncombe,{61B2AFFA-38FC-49E0-90B9-1FAF3EC23B7B},,2004-03-26,Blue Ridge Parkway,,58942.0,,Oteen,,Road cut,,Rock,,Slide - translational,,,2306.0,19094.0
1,2004-05-12 00:00:00,309903.8178,224923.396499999,POINT (309903.8178 224923.396499999),25.34,3.8108666,1671975.0,BxF,74,,Buncombe,{6F97B6F9-0657-4E45-9D55-259520BB2965},,2004-05-12,Blue Ridge Parkway,,57879.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,,69.0,22423.0
1,2004-06-11 00:00:00,301079.830700003,220594.116999999,POINT (301079.830700003 220594.116999999),24.224,4.3214006,1672192.0,UkF,69,,Buncombe,{17D54D7F-EF2F-4EF6-AA86-F1C46E8E708B},,2004-06-11,Blue Ridge Parkway,,58841.0,,Craggy Pinnacle,,Road cut,,Rock,,Fall,,,2284.0,19669.0
1,2004-07-09 00:00:00,303784.158799998,221266.664299998,POINT (303784.158799998 221266.664299998),16.085,4.2390003,1671995.0,CxF,36,,Buncombe,{2ECEB9C1-914C-4DD0-A333-BC79CBD5AD11},,2004-07-09,Blue Ridge Parkway,,58842.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,2285.0,22259.0
1,2004-08-11 00:00:00,288234.731299996,207699.099300001,POINT (288234.731299996 207699.099300001),14.531,1.8985333,1672199.0,Ux,>200,,Buncombe,{7F2640DA-5A36-4143-AD91-C75CA35DD365},Extremely rapid (>5 m/sec),2004-08-11,Geohazards,,57985.0,,Asheville,,Road embankment,Flow,Debris,Debris,Slide,,,403.0,2182.0
1,2004-09-06 08:00:00,310791.233408644,224438.679714088,POINT (310791.233408644 224438.679714088),50.522,5.0841,1672212.0,WrE,>200,,Buncombe,{7B9729CD-E35D-47E8-A5AD-731872270B8E},,2006-11-01,Blue Ridge Parkway,,58783.0,,Montreat,,Road embankment,,Debris,,Slide,,2004-09-06 08:00:00,2380.0,2572.0
1,2004-09-06 17:00:00,272546.123800002,195966.2733,POINT (272546.123800002 195966.2733),25.813,3.362567,1671929.0,ArF,76,,Buncombe,{8B02C591-2D6E-441A-97B9-A494360E408E},,2008-02-15,Landslide Hazard Mapping,,59141.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5050.0,22648.0
1,2004-09-06 17:00:00,311539.132308753,215725.411460987,POINT (311539.132308753 215725.411460987),45.514,4.7068334,1672007.0,EdF,>200,,Buncombe,{16AAAEFE-AE37-4C99-ACBA-93A68817AA32},,2008-10-21,Landslide Hazard Mapping,,58909.0,,Montreat,,Road embankment,,Debris,,Slide,,2004-09-06 17:00:00,5300.0,14225.0
1,2004-09-06 17:00:00,305931.935999997,226819.487799998,POINT (305931.935999997 226819.487799998),30.925,4.0517335,1672066.0,PxF,137,,Buncombe,{6761AF67-A21A-4F76-A065-94B4ADCA3E3C},,,Landslide Hazard Mapping,,59273.0,,Montreat,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4497.0,21821.0
1,2004-09-06 17:00:00,266672.014899999,199768.924600001,POINT (266672.014899999 199768.924600001),16.952,3.1872,1672007.0,EdF,>200,,Buncombe,{9E5FCCDA-3131-4DF6-B49F-13EB173B9386},,2008-02-05,Landslide Hazard Mapping,,59283.0,,Cruso,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4975.0,10261.0
1,2004-09-06 17:00:00,309606.376699999,214998.569499999,POINT (309606.376699999 214998.569499999),43.367,5.5509,1672018.0,ExD,>200,,Buncombe,{5979DE8C-5DA4-4B8E-8720-AB69085BA0A0},,,Landslide Hazard Mapping,,59346.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5302.0,16362.0
1,2004-09-06 17:00:00,310912.548299998,215675.790100001,POINT (310912.548299998 215675.790100001),45.514,4.7068334,1672010.0,EvE2,>200,,Buncombe,{89A1B27D-107C-409B-9965-847097B84E1A},,,Landslide Hazard Mapping,,59347.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5303.0,6356.0
1,2004-09-06 17:00:00,311394.8552,215188.2313,POINT (311394.8552 215188.2313),40.422,4.3125,1672006.0,EdE,>200,,Buncombe,{0C250D0E-BD86-43C5-A174-7B7FF11D02B3},,,Landslide Hazard Mapping,,59348.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5304.0,7630.0
1,2004-09-06 17:00:00,310331.984300002,214936.297600001,POINT (310331.984300002 214936.297600001),40.422,4.3125,1672095.0,TpD,>200,,Buncombe,{6155CD51-0B3B-43D5-AF8A-820B8724624B},,,Landslide Hazard Mapping,,59349.0,,Montreat,,Unmodified,,,,,,2004-09-06 17:00:00,5305.0,12.0
1,2004-09-06 17:00:00,310530.0691,215015.617699999,POINT (310530.0691 215015.617699999),40.422,4.3125,1672094.0,ToC,>200,,Buncombe,{E8ABB29D-2F53-403D-966F-178F6E844BC4},,2008-10-21,Landslide Hazard Mapping,,58908.0,,Montreat,,Stream bank,,Debris,,Slide,,2004-09-06 17:00:00,5299.0,11079.0
1,2004-09-06 17:00:00,267378.01864657,213612.964980901,POINT (267378.01864657 213612.964980901),37.136,3.1373668,1672006.0,EdE,>200,,Buncombe,{2015AC67-DA5A-411E-91C8-C1AA0E68FF59},,2008-03-06,Landslide Hazard Mapping,,59355.0,,Canton,,Road embankment,,Debris,,Slide - translational,,2004-09-06 17:00:00,5085.0,31575.0
1,2004-09-06 17:00:00,272198.554099999,212595.0031,POINT (272198.554099999 212595.0031),44.267,3.3371332,1672016.0,EwE,>200,,Buncombe,{6EA83B46-93AB-4CA6-980F-C16F0F371123},,2008-03-03,Landslide Hazard Mapping,,59352.0,,Enka,,Cut slope - Not road related,,Weathered rock,,Slide - translational,,2004-09-06 17:00:00,5075.0,25371.0
1,2004-09-06 17:00:00,269374.075300001,206684.954700001,POINT (269374.075300001 206684.954700001),32.012,3.0269,1672010.0,EvE2,>200,,Buncombe,{C7966EB8-347D-47DF-BE37-65D3100D0AC2},,2008-02-12,Landslide Hazard Mapping,,60882.0,,Canton,,Stream bank,,Debris,,Slide - translational,,2004-09-06 17:00:00,5001.0,5224.0
1,2004-09-06 17:00:00,300650.672791049,213087.424612187,POINT (300650.672791049 213087.424612187),31.193,5.889734,1672016.0,EwE,>200,,Buncombe,{147C1895-97B0-4686-98E7-0BDDC2C55D24},Extremely rapid (>5 m/sec),2008-05-01,Landslide Hazard Mapping,,60917.0,,Oteen,,Unmodified,Flow,Debris,Debris,Slide,,2004-09-06 17:00:00,20110221171.0,642.0
1,2004-09-06 17:00:00,274607.697490563,210040.296216526,POINT (274607.697490563 210040.296216526),28.511,3.0409002,1672016.0,EwE,>200,,Buncombe,{6B455B5E-0611-4FD8-927A-4CBC337F527A},,2013-07-09,Geohazards,,61379.0,,Enka,Very slow (>16 mm/yr),Embankment - Not road related,,Debris,,Slide,Active,2004-09-06 17:00:00,201308150001.0,20771.0
1,2004-09-06 17:00:00,301634.7883,221666.383699998,POINT (301634.7883 221666.383699998),29.916,4.2329335,1671995.0,CxF,36,,Buncombe,{EF665E0A-A9EA-4DDA-AF16-2D07E006451E},,2005-05-11,Geohazards,,58158.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,640.0,662.0
1,2004-09-06 17:00:00,301653.486900002,221641.320599999,POINT (301653.486900002 221641.320599999),29.916,4.2329335,1671995.0,CxF,36,,Buncombe,{D6FDA923-4241-497E-BBDE-CA2D4A80C223},,2005-05-11,Geohazards,,58157.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,639.0,662.0
1,2004-09-06 17:00:00,305247.961499996,222107.308200002,POINT (305247.961499996 222107.308200002),42.59,5.0193334,1671995.0,CxF,36,,Buncombe,{3EB84A6D-4FE7-4BCF-9A3B-19F7F0780D57},,2008-09-18,Blue Ridge Parkway,,60600.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5502.0,26607.0
1,2004-09-06 17:00:00,305128.222199999,222234.1417,POINT (305128.222199999 222234.1417),42.59,5.0193334,1671995.0,CxF,36,,Buncombe,{93E5A57B-95C8-4E4E-BFF4-D5511666237E},,,Blue Ridge Parkway,,60599.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5501.0,26607.0
1,2004-09-06 17:00:00,304250.813600004,223190.075199999,POINT (304250.813600004 223190.075199999),42.59,5.0193334,1671931.0,BaE,>200,,Buncombe,{64A09BAB-EA4F-49A2-BC4F-93FC01F8743B},,,Geohazards,,58116.0,,Craggy Pinnacle,,Unmodified,,,,,,2004-09-06 17:00:00,615.0,32685.0
1,2004-09-06 17:00:00,299544.2271,232056.324000001,POINT (299544.2271 232056.324000001),25.02,3.6817334,1672005.0,EdD,>200,,Buncombe,{8BFF04EB-2B6F-4164-81B4-D6EECA52DB64},,2008-07-02,Landslide Hazard Mapping,,59521.0,,Barnardsville,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5356.0,14027.0
1,2004-09-06 17:00:00,311021.272600003,223068.556899998,POINT (311021.272600003 223068.556899998),50.522,5.0841,1672096.0,TpE,>200,,Buncombe,{57D92C25-52A6-4C29-94FC-A0724E5D0890},,2008-09-09,Landslide Hazard Mapping,,60597.0,,Montreat,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,5499.0,10670.0
1,2004-09-06 17:00:00,302021.006399997,223662.391100001,POINT (302021.006399997 223662.391100001),29.916,4.2329335,1672066.0,PxF,137,,Buncombe,{385BD110-045D-450E-86BD-3DDA1CD79B78},,,Landslide Hazard Mapping,,60786.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4480.0,5459.0
1,2004-09-06 17:00:00,301871.381700002,223876.770599999,POINT (301871.381700002 223876.770599999),29.916,4.2329335,1672192.0,UkF,69,,Buncombe,{1D68D0EB-0AF7-48C0-A608-C1979354F413},,,Landslide Hazard Mapping,,60787.0,,Craggy Pinnacle,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4481.0,22492.0
1,2004-09-06 17:00:00,310999.046899997,214949.8464,POINT (310999.046899997 214949.8464),40.422,4.3125,1672007.0,EdF,>200,,Buncombe,{01EBF686-0AE9-4564-9AC3-1D635EBE07A3},,2008-10-21,Landslide Hazard Mapping,,58777.0,,Montreat,Extremely rapid (>5 m/sec),Cut slope - Not road related,,Debris,,Flow,,2004-09-06 17:00:00,5628.0,22702.0
1,2004-09-06 17:00:00,301706.839500003,221932.329799999,POINT (301706.839500003 221932.329799999),29.916,4.2329335,1671974.0,BxE,74,,Buncombe,{589DC77B-A0B7-4105-BD95-0F8A34C2A407},,,Landslide Hazard Mapping,,60788.0,,Craggy Pinnacle,,Road cut,,,,,,2004-09-06 17:00:00,4483.0,21945.0
1,2004-09-06 17:00:00,304674.343955282,224619.214791408,POINT (304674.343955282 224619.214791408),42.59,5.0193334,1672192.0,UkF,69,,Buncombe,{ECC25666-BB80-4186-BF06-F10D94AF7C4F},,,Landslide Hazard Mapping,,60789.0,,Montreat,,Road cut,,,,,,2004-09-06 17:00:00,4484.0,18385.0
1,2004-09-06 17:00:00,262140.619000003,220544.513999999,POINT (262140.619000003 220544.513999999),23.166,1.9486667,1672007.0,EdF,>200,,Buncombe,{3D724714-ECD4-4B4B-A1E2-7FD65090FCD6},Extremely rapid (>5 m/sec),2008-03-20,Landslide Hazard Mapping,,60903.0,,Sandymush,,Unmodified,Flow,Debris,Debris,Slide,,2004-09-06 17:00:00,5191.0,2204.0
1,2004-09-16 17:00:00,269363.5198,194740.923099998,POINT (269363.5198 194740.923099998),192.526,10.099566,1672066.0,PxF,137,,Buncombe,{9DB0B13D-6396-4497-A084-D831B2577FE6},,2008-02-29,Landslide Hazard Mapping,,59143.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Embankment - Not road related,,Debris,,Flow,,2004-09-16 17:00:00,5059.0,26215.0
1,2004-09-16 17:00:00,277058.548811354,210219.775711354,POINT (277058.548811354 210219.775711354),147.763,7.5538664,1672007.0,EdF,>200,,Buncombe,{D151592A-69F9-40F5-986E-53C9E11457C7},,2004-09-23,Geohazards,,58069.0,,Enka,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,441.0,29398.0
1,2004-09-16 17:00:00,277082.840099998,210349.298,POINT (277082.840099998 210349.298),147.763,7.5538664,1672007.0,EdF,>200,,Buncombe,{3790C10B-47FA-4068-ADEF-8B210F0296D1},,2004-09-23,Geohazards,,58054.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,440.0,29398.0
1,2004-09-16 17:00:00,274236.265000001,196177.030200001,POINT (274236.265000001 196177.030200001),211.26,10.974299,1672096.0,TpE,>200,,Buncombe,{576C4F53-E27A-46EF-A81B-2B2BEB9A8A9F},,2008-02-14,Landslide Hazard Mapping,,59139.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,5048.0,31383.0
1,2004-09-16 17:00:00,274091.8486,196498.5748,POINT (274091.8486 196498.5748),211.26,10.974299,1671929.0,ArF,76,,Buncombe,{31A905A8-C8F8-4E7D-8361-B3DB20467B18},,2008-02-14,Landslide Hazard Mapping,,59138.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-16 17:00:00,5047.0,145.0
1,2004-09-16 17:00:00,277020.884599999,210096.255199999,POINT (277020.884599999 210096.255199999),147.763,7.5538664,1672016.0,EwE,>200,,Buncombe,{1CC71DDD-A855-4EDB-A384-94990F1FB650},,2004-09-23,Geohazards,,58071.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,443.0,27390.0
1,2004-09-16 17:00:00,268913.230700001,199742.534000002,POINT (268913.230700001 199742.534000002),163.72,8.332733,1672002.0,DeA,41,,Buncombe,{AF4C02BB-30FC-4D98-B38A-B59D296AF4A9},,2008-02-05,Landslide Hazard Mapping,,60880.0,,Cruso,,Road cut,,Debris,,Slide,,2004-09-16 17:00:00,4993.0,6007.0
1,2004-09-16 17:00:00,276982.017399997,210173.183499999,POINT (276982.017399997 210173.183499999),147.763,7.5538664,1672007.0,EdF,>200,,Buncombe,{B94766B1-1124-48A0-87FF-F51686DD28F8},,2004-09-23,Geohazards,,58070.0,,Enka,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,442.0,29398.0
1,2004-09-16 17:00:00,280044.940700002,200164.847800001,POINT (280044.940700002 200164.847800001),158.296,8.3174,1672007.0,EdF,>200,,Buncombe,{DE66FDC0-E14B-45B1-B9F6-BCC776BE8C98},,2009-03-23,Landslide Hazard Mapping,,59197.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,5319.0,23202.0
1,2004-09-16 17:00:00,274155.238200001,196642.305500001,POINT (274155.238200001 196642.305500001),211.26,10.974299,1671929.0,ArF,76,,Buncombe,{9CB57B7B-0852-4A04-AA91-E8B56077D145},,,Landslide Hazard Mapping,,58848.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-16 17:00:00,5645.0,145.0
1,2004-09-16 17:00:00,276977.151799999,209919.138999999,POINT (276977.151799999 209919.138999999),147.763,7.5538664,1672007.0,EdF,>200,,Buncombe,{BC9C311A-753E-4DEB-A5C9-F197FF1939FC},,2004-09-23,Geohazards,,58072.0,,Enka,Extremely rapid (>5 m/sec),Road cut,,Debris,,Flow,,2004-09-16 17:00:00,444.0,29398.0
1,2004-09-16 17:00:00,270712.609702996,195163.949986,POINT (270712.609702996 195163.949986),192.526,10.099566,1672006.0,EdE,>200,,Buncombe,{DE41599D-A3EF-4028-B2AF-C15A6D5E0834},,2005-10-25,Landslide Hazard Mapping,,58079.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-16 17:00:00,452.0,32261.0
1,2004-09-16 17:00:00,271895.041100003,211471.022599999,POINT (271895.041100003 211471.022599999),149.09,7.578734,1672016.0,EwE,>200,,Buncombe,{82DEF1B8-E916-411E-A4EA-0E0365691C9A},,,Landslide Hazard Mapping,,58081.0,,Enka,Extremely rapid (>5 m/sec),Cut slope - Not road related,,Debris,,Flow,,2004-09-16 17:00:00,460.0,34903.0
1,2005-01-10,311493.540100001,224218.409200001,POINT (311493.540100001 224218.409200001),46.795,2.6099,1671975.0,BxF,74,,Buncombe,{11C3A2BF-384C-4E7D-A2BC-E1BD700DA91F},,2005-01-10,Blue Ridge Parkway,,58023.0,,Montreat,,Road cut,,Debris,,Slide - translational,,,524.0,24045.0
1,2005-01-10,311465.130500004,224229.676199999,POINT (311465.130500004 224229.676199999),46.795,2.6099,1671974.0,BxE,74,,Buncombe,{1FBCBC6A-DF04-4AA3-80D8-EA65E6716927},Extremely rapid (>5 m/sec),2005-01-10,Blue Ridge Parkway,,58024.0,,Montreat,,Road cut,Flow,Debris,Debris,Slide,,,525.0,4791.0
1,2005-01-10,309707.939000003,224979.781199999,POINT (309707.939000003 224979.781199999),39.408,2.2263,1671975.0,BxF,74,,Buncombe,{50BEFE2A-33D4-49AB-A4D4-31088A80DEBF},,2005-01-10,Blue Ridge Parkway,,59122.0,,Montreat,,Road embankment,,Debris,,Creep,,,2541.0,22423.0
1,2005-01-11,307863.539800003,226780.522999998,POINT (307863.539800003 226780.522999998),39.408,2.0733333,1672205.0,WoE,>200,,Buncombe,{C168B7E6-AE05-4E51-A429-B3FB6C80825C},,2005-01-11,Blue Ridge Parkway,,58047.0,,Montreat,,Road cut,,Rock,,Slide - translational,,,532.0,17945.0
1,2005-02-25,297772.001599997,209321.451299999,POINT (297772.001599997 209321.451299999),20.769,2.2071335,1672016.0,EwE,>200,,Buncombe,{D2EDBD68-A995-49E0-B9B1-5CE28D8578F4},,2005-02-25,State Map,,57948.0,,Oteen,,Embankment - Not road related,,Debris,,Slide,,,573.0,27149.0
1,2005-02-25,298048.144599997,209361.830200002,POINT (298048.144599997 209361.830200002),20.769,2.2071335,1672016.0,EwE,>200,,Buncombe,{AB483B6E-606A-48A2-882A-CCF3DBC6BB8F},,2005-02-25,State Map,,57949.0,,Oteen,,Embankment - Not road related,,Debris,,Slide,,,574.0,27149.0
